szerzo,cim,jelzet,raktar,kiado,ev,targyszavak,kulso_leiras,megjegyzesek
Lassu István,"Statistikára való bévezetés és Európának statistikai, geográphiai és históriai rajzolatja s a' tudósok' és tudományok rövid históriája, A'",310 L29,,Trattner-Károlyi Ny.,1828,Európa története; történeti statisztika; földrajz,http://nektar.oszk.hu/hu/manifestation/3103395,
,Szatmári és nagyváradi egyesített egyházmegyék 1938. okt. 26-28. napján Nagyváradon tartott egyházmegyei zsinatának határozatai,262.4 Szatmár-Nagyvárad,,Szt. László Ny.,1939,egyházjog; szatmár-nagyváradi püspökség,http://nektar.oszk.hu/hu/manifestation/3195677,
Karácsonyi János,Szent-István király oklevelei és a Szilveszter-bulla : diplomatikai tanulmány,943.9 K17,,Akadémia,1891,magyar történelem; Szt I. István király; Szt I. Szilveszter pápa,http://nektar.oszk.hu/hu/manifestation/1535910,
Grünwald Béla,"Új Magyarország, Az : gróf Széchenyi István",943.9 G69,,Franklin,1890,magyar történelem; politikatörténet; reformkor; életrajz,http://nektar.oszk.hu/hu/manifestation/1553592,
Rácz Endre,Újabbkori magyar művelődés szelleme,930.85 R12,,szerző,1946,művelődéstörténet; Magyarország,http://nektar.oszk.hu/hu/manifestation/2937394,
Meskó Lajos (összeáll.),"Vasárnapi kalauz : olvasmány magyarázatok és elmélkedések az A, B, C liturgikus év vasár- és ünnepnapjaira, valamint a szentek ünnepeire",242A V57,,St. Stephen's Magyar R. C. Church,1996,bibliamagyarázat; elmélkedések,http://nektar.oszk.hu/hu/manifestation/832467,
"Waal, Anton de",XV. Benedek pápa,270 W10,,Szt. István Társ.,1916,egyháztörténet; pápaság története; életrajz,http://nektar.oszk.hu/hu/manifestation/3098916,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
"Macaulay, Thomas Babington",Anglia története II. Jakab trónralépte óta 1-6. köt.,942.0 M10,,Athenaeum Ny.,1877,angol történelem,http://nektar.oszk.hu/hu/manifestation/2929606,
Lázár Gyula,Angolország történelme a legrégibb időktől az újkorig 1-4. köt.,942.0 L37,,Csanád-Egyházmegyei Ny.,1892-1893,angol történelem,http://nektar.oszk.hu/hu/manifestation/3517814,
,Diarium comitiorum regni Hungariae rege Leopold Secundo ... in diem ... anni ... indictorum ac die ... anni ... conclusorum = Naponként-való jegyzései az ... esztendőben felséges II-dik Leopold tsászár és magyarországi király által ... rendelt ... s ... esztendőben béfejezett Magyar Ország Gyűlésének,320 D63,,Akad. Ny.,1791,magyar történelem; országgyűlés; Pozsony; napló; II. Lipót,http://nektar.oszk.hu/hu/manifestation/2746758,
,Emlékkönyv kis-apponyi Bartakovics Béla egri érsek aranymiséjének ünnepére,270 E49,,Érseki Lyc. Ny.,1865,magyar egyháztörténet; egri érsekség,http://nektar.oszk.hu/hu/manifestation/3141621,
,Emlékkönyv Simor János Magyarország herczeg primása ... aranymiséjének ünnepére,270 E49,,Franklin,1886,magyar egyháztörténet; esztergomi érsekség,http://nektar.oszk.hu/hu/manifestation/3183905,
,"Felséges első Ferdinánd austriai császár, Magyar és Csehország e' néven ötödik koronás királyától ... Pozsony városában ... rendeltetett ... évi magyar országgyűlésen a' fő-rendeknél ... tartott országos ülések naplója",320 F43,,Schmid Ny.,,magyar történelem; országgyűlés; Pozsony; napló; V. Ferdinánd,http://nektar.oszk.hu/hu/manifestation/2745982,
"Quinet, Edgar","Forradalom, A 1-2. köt.",944 Q70,,Lauffer,1871-1872,történelem; Franciaország; francia forradalom,http://nektar.oszk.hu/hu/manifestation/3093570,
"Courtenay Bodley, John Edward",Francziaország 1-2. köt.,944 C30,,Akadémia,1899-1900,történelem; Franciaország; politikai rendszer; alkotmánytörténet; jogtörténet,http://nektar.oszk.hu/hu/manifestation/2931424,
"Friedjung, Heinrich",Harcz a német hegemóniáért (1859-1866) 1-3. köt.,943.0 F93,,Akadémia,1902-1904,történelem; Európa története; Németország; külpolitika,http://nektar.oszk.hu/hu/manifestation/2932312,
Forster Gyula,III. Béla magyar király emlékezete,943.9 F74,,Magyar kormány,1900,magyar történelem; középkor; III. Béla király; emlékkönyv,http://nektar.oszk.hu/hu/manifestation/1535547,
Ipolyi Arnold,Ipolyi Arnold kisebb munkái 1. köt. Ipolyi Arnold magyar műtörténelmi tanulmányai,700 I67,,Ráth,1873,magyar történelem; művészettörténet; tanulmányok,http://nektar.oszk.hu/hu/manifestation/1534841,
Ipolyi Arnold,Ipolyi Arnold kisebb munkái 2. köt.  1845-1872 : Ipolyi Arnold beszédei,930.85 I67,,Ráth,1873,művészettörténet,http://nektar.oszk.hu/hu/manifestation/1534842,
Palugyay Imre,"Kapcsolt-részek (Slavonia - Croatia) történelmi- s jogi-viszonyai Magyar-országhoz, A",943.9 P22,,Sieber H. Ny.,1863,magyar történelem; jogtörténet; Horvátország; Szlavónia,http://nektar.oszk.hu/hu/manifestation/1578570,
"Hergenröther, Joseph","Katholikus egyház és keresztény állam, A 1-2. köt. (egybekötve)",261 H62,,Hunyadi Mátyás Ny.,1874-1875,egyházjog; törvénykezés; egyház és állam; MEI,http://nektar.oszk.hu/hu/manifestation/2788142,
"Palugyay Imre, ifj.","Magyarország történeti, földirati s állami legújabb leírása 1. Buda-Pest szabad királyi városok leírása; 2. Szabad királyi városok leírásai : Esztergom, Székes-Fejérvár, Szeged, Nagy-Várad, Debreczen, Szatmár-Németi, Nagybánya, Felső-Bánya; 3. Jász-Kun kerületek s külső Szolnok vármegye leírása; 4. Békés- Csanád, Csongrád és Hont vármegyék leírása",908 Magyaro. P22,,Heckenast,1852-1855,honismeret,http://nektar.oszk.hu/hu/manifestation/3057985,
"Szabó János, Alamizsnás",Oldallapok n.s Zala vármegye fölírásához,348 Sz16,,Beimel Ny.,1841,egyházjog; egyház és állam; vegyes házasság; Magyarország,http://nektar.oszk.hu/hu/manifestation/3084006,
,Prímás-album : Serédi Jusztinián Magyarország bíbornok hercegprímása tiszteletére,270 P91,,Franklin,1928,magyar egyháztörténet; esztergomi érsekség,http://nektar.oszk.hu/hu/manifestation/1568485,
Czeizel Gábor,"Szent-ferencrendiek Nyitrán, A",271 OFM C93,,Huszár Ny.,1911,magyar egyháztörténet; szerzetesrendek története; ferences rend; Nyitra; helytörténet,http://nektar.oszk.hu/hu/manifestation/3062262,
Jedlicska Pál,Társadalmi testvérharcz a modern jogállam s a kath. egyház között,261 J53,,Buzárovits,1879,magyar történelem; egyház és állam; egyházpolitika,http://nektar.oszk.hu/hu/manifestation/3095703,
Pesty Frigyes,"Világtörténelem napjai a legrégibb időtől kezdve a jelenkorig, A : különös tekintettel Magyarországra 1-2. köt.",940 P59,,Pfeifer,1870,egyetemes történelem; magyar történelem; kronológia,http://nektar.oszk.hu/hu/manifestation/2687706,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Árus Lajos,Ószövetségi héber-magyar szómagyarázat 1. Mózes öt könyve,222 A86,,Iránytű,1996,biblikum; Tóra,http://nektar.oszk.hu/hu/manifestation/192373,
Babura László,Szent Jeromos élete,"235.3 Jeromos, Szt",,Szt. István Társ.,1926,hagiográfia; szentek élete; életrajz,http://nektar.oszk.hu/hu/manifestation/2911239,
Bajnógel József (főszerk.),"Felsőgödi Római Katolikus Jézus Szíve Egyházközség krónikája, 1907-2008, A",270 F43,,Felsőgödi Római Kat. Egyházközs.,2009,magyar egyháztörténet; váci püspökség; plébániatörténet,http://nektar.oszk.hu/hu/manifestation/3317671,
Bangha Béla SJ,Római levelek,910 B27,,Korda,1924,útleírás,http://nektar.oszk.hu/hu/manifestation/3105874,
Bárczi Géza,Magyar szófejtő szótár,800 Magyar B32,,Trezor,1991,magyar nyelv; etimológia; kézikönyv,http://nektar.oszk.hu/hu/manifestation/37568,
"Benedek, XVI. pápa","XVI. Benedek pápa Porta fidei motu proprio kiadott apostoli levele, amellyel meghirdeti a Hit évét","262.13 Benedek, XVI. ",,Szt. István Társ.,2012,egyházi tanítóhivatal megnyilatkozásai; pápai dokumentumok; Hit éve,http://nektar.oszk.hu/hu/manifestation/3409893,
Biczó Tamás,Budapest egykor és ma,908 Budapest,,Panoráma,1979,honismeret; helytörténet,http://nektar.oszk.hu/hu/manifestation/650513,
"Bloom, Anthony",Elmélkedések : Lelki utazás,242 B69,,Gör. Kat. Hittud. Főisk.,1989,hitélet; liturgia; görögkatolikus egyház,http://nektar.oszk.hu/hu/manifestation/506828,
"Bock, Sebastian","Bibliai Izrael története, A : a kezdetektől az Újszövetség koráig",930 B70,,Jel,2002,"biblikum; Biblia, Ószövetség; történelem; ókor",http://nektar.oszk.hu/hu/manifestation/934558,
Boda László,"Torinói lepel ""életre-keltésének"" kísérlete, A : beszámoló a lepel-arcnak és a testnek ""restauráló-rekonstruáló"" jellegű kutatásáról",231 B70,,EFO,1998,turini lepel; halotti lepel; krisztológia; szenvedéstörténet; Jézus Krisztus kereszthalála; ereklyék; régészet; szindonológia; kormeghatározás; művelődéstörténet,http://nektar.oszk.hu/hu/manifestation/315566,
Bottyán János,"Magyar Biblia évszázadai, A",220 B83,,Ref. Zsinati Iroda Sajtóoszt.,1982,kereszténység és kultúra; irodalomtörténet; magyar irodalom; bibliafordítások,http://nektar.oszk.hu/hu/manifestation/790998,
Bozóky Gyula,"Felsőgödi Jézus Szíve templom építésének története, 1923-1925, A",270 B84,,Felsőgödi Római Kat. Egyházközs.,2000,magyar egyháztörténet; váci püspökség; plébániatörténet,http://nektar.oszk.hu/hu/manifestation/440382,
"Bunge, Gabriel","Szentháromság-ikon, A : a szent ikonfestő Andrej Rubljov lelkisége és műve",750 B96,,Örökségünk,1994,egyházművészet; ikonfestészet; Oroszország; életrajz,http://nektar.oszk.hu/hu/manifestation/96893,
"Chadwick, Henry - Evans, Gillian R. (szerk.)","Keresztény világ atlasza, A",930.85 K40,,Helikon,1993,egyetemes történelem; egyháztörténet; kereszténység; művelődéstörténet,http://nektar.oszk.hu/hu/manifestation/47140,
Dávid Katalin,Magyar egyházi gyűjtemények kincsei,700 D30,,Corvina,1981,egyházművészet; Magyarország; képeskönyv,http://nektar.oszk.hu/hu/manifestation/616787,
Déri Balázs - Kovács Ilona (sajtó alá rend.),II. Rákóczi Ferenc fohászai,243 M39,,Akadémiai - Balassi,1994,magyar irodalom; imakönyv,http://nektar.oszk.hu/hu/manifestation/104738,
Déri Erzséber (szerk.),Katolikus templomok Magyarországon,720 K24,,Hegyi,1991,egyházművészet; művészettörténet; templomépítészet; fotóalbum; képeskönyv,http://nektar.oszk.hu/hu/manifestation/792920,
Diósi Dávid,"Egyházam a posztmodernben : a dialógus- ""kényszer"" ideje",260 D67,,Vigilia,2014,katolikus egyház; egyháztörténet; egyházkritka; jövőkép,http://nektar.oszk.hu/hu/manifestation/3578704,
Dobos Lajos - Kriszt György,Középkori templomaink,720 D71,,MTI,1990,egyházművészet; művészettörténet; román művészet; gótikus művészet; templomépítészet; fotóalbum; képeskönyv,http://nektar.oszk.hu/hu/manifestation/735753,
Dobos László,Világiak a plébániai lelkipásztorkodásban,259 D71,,Lámpás,1996,pasztorálteológia; világi szolgálat,http://nektar.oszk.hu/hu/manifestation/195754,
"Dobson, James",Amit a feleségekről a férjeknek tudni kellene,170 D73,,Primo,1992,párkapcsolat; házasság; pszichológia,http://nektar.oszk.hu/hu/manifestation/28220,
Duró Lajos - Kelemen László - Radnai Béla,Fejlődés és neveléslélektan,159.9 D98,,Tankvk.,1970,pszichológia; pedagógia; fejlődéslélektan; gyermeknevelés; felsőoktatási tankönyv,http://nektar.oszk.hu/hu/manifestation/1491938,
Előd István,Dogmatika 4/1. : Általános szentségtan és az eukarisztika,265 E41,,s.n.,1976,szentségek; Eucharisztia; Oltáriszentség; felsőoktatási tankönyv,http://nektar.oszk.hu/hu/manifestation/1500450,
Előd István,Kegyelemtan,230 E41,,G.k. Hittud. Főisk. Nyíregyháza,1973,dogmatika; felsőoktatási tankönyv,http://nektar.oszk.hu/hu/manifestation/1495849,
Előd István - Koncz Lajos,Dogmatika 2.,230 E41,,s.n.,1974,áteredő bűn; szoteriológia; megváltás; Szentháromság; felsőoktatási tankönyv,http://nektar.oszk.hu/hu/manifestation/1496771,
Előd Tamás,Vallásosság és vallás,291 E41,,Nyíregyházi Tempo,1977,vallástörténet; felsőoktatási tankönyv,http://nektar.oszk.hu/hu/manifestation/1526083,
"Emerson, Ralph Waldo","Emberi szellem képviselői, Az",930.85 E46,,Akadémia,1894,művelődéstörténet; filozófiatörténet; kultúra; civilizáció; életrajzok,http://nektar.oszk.hu/hu/manifestation/2931154,
Erdő Péter,"Tanító és megszentelő egyház, A : a tanítói és a megszentelői feladat gyakorlásának egyházjogi szabályai ",348 E79,,PPRKHA,1989,Tanítóhivatal; kánonjog; felsőoktatási tankönyv,http://nektar.oszk.hu/hu/manifestation/196226,
Fila Lajos,"Egyház megújulásának alapvető kérdései, Az",230 F57,,Örökmécs,2010,kereszténység; katolikus egyház; dogmatörténet; egyházreform; tanulmányok,http://nektar.oszk.hu/hu/manifestation/3255942,
"Friedell, Egon","Újkori kultúra története, Az 1. Középkor, pestis, misztika; 2. Reneszánsz és reformáció",930.85 F93,,Holnap,1989,művelődéstörténet; kultúra; civilizáció; eszmetörténet; történetírás; Európa,http://nektar.oszk.hu/hu/manifestation/672802,
Gál Ferenc,"Egyház kegyelmi rendje, Az : [dogmatikai jegyzet]",260 G17,,Budapesti Római Katolikus Hittudományi Akadémia,1981,"dogmatika, felsőoktatási tankönyv",http://nektar.oszk.hu/hu/manifestation/1529799,
Gáspár Zsuzsa - Maros Donka (szerk.),"Hit asztala, A : Az áldozattól az istentiszteletig : Öt vallás liturgikus tárgyaiból",247 H71,,Officina Nova,1990,vallástörténet; keresztény egyházak; zsidó vallás; keresztény művészet; zsidó szertartás; iparművészet; templomi felszerelések; képeskönyv,http://nektar.oszk.hu/hu/manifestation/750821,
Genthon István (összeáll.),"Magyar történelem képeskönyve, A",943.9 M14,,Egyetemi Ny.,1935,"Magyarország története, művészettörténet; fotóalbum",http://nektar.oszk.hu/hu/manifestation/3020335,
Görbe József,"Valóság Krisztusban van, A : teológiai meditáció",242 G58,,Kairosz,2000,vallásfilozófia; elmélkedés,http://nektar.oszk.hu/hu/manifestation/799451,
"Harnack, Adolf von","Kereszténység lényege, A",284.1 H33,,Osiris,2000,protestáns teológia; evangélikus egyház,http://nektar.oszk.hu/hu/manifestation/797696,
Hermann Péter (főszerk.),Magyar ki kicsoda : több mint 6000 élő magyar személy életrajza,929 Vegyes,,Texoft - Láng,1990,"életrajzok, kézikönyv",http://nektar.oszk.hu/hu/manifestation/785666,
"Horváth Margit, N. - Szilágyi Ilona",Linguam Latinam disco : latin nyelvkönyv 10-14 éveseknek,800 Latin,,Nemz. Tankvk.,1993,tankönyv,http://nektar.oszk.hu/hu/manifestation/91602,
Hosszu Lajos,Logika,100 H93,,s.n.,1973,felsőoktatási tankönyv,http://nektar.oszk.hu/hu/manifestation/1495047,
Jacobus de Voragine,Legenda aurea,235.3 Vegyes,,Helikon,1990,hagiográfia; szentek élete; életrajzok,http://nektar.oszk.hu/hu/manifestation/788127,
Jalsovszky Katalin - Tomsics Emőke - Toronyi Zsuzsanna,"Magyarországi zsidóság képes története, A",316 J23,,Vince,2014,magyar történelem; zsidóság története; művelődéstörténet; képeskönyv,http://nektar.oszk.hu/hu/manifestation/3545173,
Jajczay János,Karácsony a művészetben,750 J12,,Corvina,1973,kereszténység; művészettörténet; egyházművészet; képzőművészet; festészet; Európa; ikonográfia; biblikum; tanulmányok; képeskönyv,http://nektar.oszk.hu/hu/manifestation/1425951,
Kádár Zoltán - Entz Géza Antal (sajtó alá rend.),"Korai középkor, A (A művészet története 3.)",700 K70,,Corvina,1988,művészettörténet; keresztény művészet; ókeresztény egyház; bizánci művészet; román művészet; képzőművészet; képeskönyv,http://nektar.oszk.hu/hu/manifestation/618413,
Károli Gáspár (ford.),"Szent Biblia, azaz Istennek Ó és Új Testamentomában foglaltatott egész Szent Írás",220 Sz61,,Brit és Külföldi Biblia-Társ.,1929,biblikum; Ószevetség; Újszövetség,http://nektar.oszk.hu/hu/manifestation/3505941,
Kelényi György,"Kastélyok, kúriák, villák",720 K31,,Corvina,1980,művészettörténet; építészet; képeskönyv,http://nektar.oszk.hu/hu/manifestation/616272,
Kiss János - Sziklay János (szerk.),"Katholikus Magyarország, A 1-2. köt.",270 K24,,Stephaneum Ny.,1902,magyar egyháztörténet; kereszténység; egyházszervezet,http://nektar.oszk.hu/hu/manifestation/3070759,
"Komensky, Jan Amos (Comenius)","Pampaedia : a ""De rerum humanarum emendatione consultatio catholica ad genus humanum"" IV. része",370 K67,,M. Comenius Társ.,1992,neveléstörténet; pedagógia,http://nektar.oszk.hu/hu/manifestation/59108,
Koncz Lajos,"Krisztus-esemény, A",232 K68,,Katolikus Teológiai Főiskola,1980,dogmatika; krisztológia,http://nektar.oszk.hu/hu/manifestation/1504078,
Kránitz Mihály,Alapvető hittan,230 K94,,Szt. István Társ.,2015,fundamentális teológia; dogmatika; krisztológia; egyháztan; felsőoktatási tankönyv,http://nektar.oszk.hu/hu/manifestation/3606640,
Kristó Gyula,"Vármegyék kialakulása Magyarországon, A",943.9 K95,,Magvető,1988,magyar történelem; történeti földrajz; közigazgatás; jogtörténet; egyháztörténet; hadtörténet; Árpád-kor,http://nektar.oszk.hu/hu/manifestation/621669,
"Kürti Katalin, Sz.",Munkácsy Mihály Krisztus-trilógiája,750 K99,,Gondolat,1989,művészettörténet; festészet; Magyarország; Ecce homo; Krisztus Pilátus előtt; Golgota; műelemzés; képeskönyv,http://nektar.oszk.hu/hu/manifestation/660867,
